date_time,reading1,reading2,reading3,reading4,reading5,reading6,reading1_diff,reading2_diff,reading3_diff,reading4_diff,reading5_diff,reading6_diff
2024-05-11 09:00:00,2409841,2374077,2227460,2243478,2228290,0,,,,,,
2024-05-11 10:00:00,2409717,2373721,2227377,2243342,2228270,0,-124.0,-356.0,-83.0,-136.0,-20.0,0.0
2024-05-11 11:00:00,2409448,2373313,2227196,2243040,2228116,0,-269.0,-408.0,-181.0,-302.0,-154.0,0.0
2024-05-11 12:00:00,2409241,2373129,2227065,2242762,2227929,0,-207.0,-184.0,-131.0,-278.0,-187.0,0.0
2024-05-11 13:00:00,2409072,2372914,2227005,2242571,2227808,0,-169.0,-215.0,-60.0,-191.0,-121.0,0.0
2024-05-11 14:00:00,2408912,2372731,2226955,2242359,2227733,0,-160.0,-183.0,-50.0,-212.0,-75.0,0.0
2024-05-11 15:00:00,2408789,2372602,2226911,2242260,2227701,0,-123.0,-129.0,-44.0,-99.0,-32.0,0.0
2024-05-11 16:00:00,2408768,2372551,2226905,2242292,2227722,0,-21.0,-51.0,-6.0,32.0,21.0,0.0
2024-05-11 17:00:00,2408829,2372565,2226918,2242438,2227751,0,61.0,14.0,13.0,146.0,29.0,0.0
2024-05-11 18:00:00,2408807,2372557,2226876,2242459,2227728,0,-22.0,-8.0,-42.0,21.0,-23.0,0.0
2024-05-11 19:00:00,2408778,2372554,2226827,2242491,2227701,0,-29.0,-3.0,-49.0,32.0,-27.0,0.0
2024-05-11 20:00:00,2408718,2372555,2226757,2242465,2227679,0,-60.0,1.0,-70.0,-26.0,-22.0,0.0
2024-05-11 21:00:00,2408678,2372537,2226670,2242409,2227665,0,-40.0,-18.0,-87.0,-56.0,-14.0,0.0
2024-05-11 22:00:00,2408660,2372512,2226561,2242410,2227668,0,-18.0,-25.0,-109.0,1.0,3.0,0.0
2024-05-11 23:00:00,2408651,2372482,2226466,2242410,2227663,0,-9.0,-30.0,-95.0,0.0,-5.0,0.0
2024-05-12 00:00:00,2408630,2372462,2226363,2242394,2227674,0,-21.0,-20.0,-103.0,-16.0,11.0,0.0
2024-05-12 01:00:00,2408635,2372439,2226278,2242429,2227676,0,5.0,-23.0,-85.0,35.0,2.0,0.0
2024-05-12 02:00:00,2408638,2372435,2226215,2242468,2227671,0,3.0,-4.0,-63.0,39.0,-5.0,0.0
2024-05-12 03:00:00,2408623,2372444,2226159,2242458,2227671,0,-15.0,9.0,-56.0,-10.0,0.0,0.0
2024-05-12 04:00:00,2408620,2372452,2226129,2242463,2227660,0,-3.0,8.0,-30.0,5.0,-11.0,0.0
2024-05-12 05:00:00,2408628,2372444,2226126,2242445,2227656,0,8.0,-8.0,-3.0,-18.0,-4.0,0.0
2024-05-12 06:00:00,2408650,2372380,2226119,2242425,2227625,0,22.0,-64.0,-7.0,-20.0,-31.0,0.0
2024-05-12 07:00:00,2408626,2372240,2226103,2242359,2227628,0,-24.0,-140.0,-16.0,-66.0,3.0,0.0
2024-05-12 08:00:00,2408446,2372020,2226013,2242096,2227549,0,-180.0,-220.0,-90.0,-263.0,-79.0,0.0
2024-05-12 09:00:00,2408205,2371687,2225835,2241765,2227412,0,-241.0,-333.0,-178.0,-331.0,-137.0,0.0
2024-05-12 10:00:00,2407979,2371347,2225667,2241509,2227209,0,-226.0,-340.0,-168.0,-256.0,-203.0,0.0
2024-05-12 11:00:00,2407752,2371064,2225484,2241254,2227020,0,-227.0,-283.0,-183.0,-255.0,-189.0,0.0
2024-05-12 12:00:00,2407574,2370785,2225310,2241080,2226836,0,-178.0,-279.0,-174.0,-174.0,-184.0,0.0
2024-05-12 13:00:00,2407404,2370559,2225186,2240908,2226666,0,-170.0,-226.0,-124.0,-172.0,-170.0,0.0
2024-05-12 14:00:00,2407262,2370347,2225058,2240738,2226519,0,-142.0,-212.0,-128.0,-170.0,-147.0,0.0
2024-05-12 15:00:00,2407146,2370199,2225013,2240668,2226467,0,-116.0,-148.0,-45.0,-70.0,-52.0,0.0
2024-05-12 16:00:00,2407119,2370157,2225032,2240712,2226462,0,-27.0,-42.0,19.0,44.0,-5.0,0.0
2024-05-12 17:00:00,2407176,2370151,2225019,2240819,2226465,0,57.0,-6.0,-13.0,107.0,3.0,0.0
